date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url
12/2/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/2/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/2/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/1/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/26/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/24/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/20/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/17/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Guinea,1,3805,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/16/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Guinea,1,3805,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/12/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/11/15,Guinea,1,3805,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
11/11/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
11/11/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
